Time,Temperature
185135,50.29
185538,50.29
185942,50.32
186345,50.29
186747,50.32
187151,50.28
187554,50.29
187958,50.29
188361,50.29
188765,50.33
189168,50.34
189572,50.32
189975,50.35
190379,50.32
190782,50.36
191185,50.37
191589,50.35
191991,50.37
192395,50.4
192798,50.38
193202,50.38
193605,50.38
194009,50.42
194412,50.41
194816,50.41
195219,50.41
195622,50.4
196026,50.42
196429,50.43
196832,50.45
197235,50.47
197639,50.46
198042,50.45
198446,50.46
198849,50.46
199252,50.46
199656,50.48
200059,50.45
200463,50.47
200866,50.5
201270,50.5
201673,50.48
202076,50.51
202479,50.5
202883,50.52
203286,50.51
203689,50.53
204093,50.54
204496,50.56
204900,50.57
205303,50.58
205707,50.63
206110,50.62
206514,50.64
206916,50.65
207320,50.67
207723,50.67
208126,50.7
208530,50.68
208933,50.69
209337,50.68
209740,50.69
210144,50.69
210547,50.71
210951,50.7
211354,50.69
211758,50.69
212160,50.68
212563,50.68
212967,50.7
213370,50.68
213774,50.69
214177,50.69
214581,50.66
214984,50.62
215388,50.65
215791,50.61
216195,50.62
216598,50.59
217000,50.58
217404,50.56
217807,50.56
218211,50.54
218614,50.54
219018,50.52
219421,50.52
219825,50.48
220228,50.49
220632,50.5
221035,50.5
221438,50.45
221842,50.47
222244,50.47
222648,50.45
223051,50.45
223455,50.43
223858,50.41
224262,50.4
224665,50.4
225069,50.37
225472,50.37
225875,50.37
226279,50.34
226682,50.34
227086,50.32
227488,50.29
227892,50.32
228295,50.29
228699,50.27
229102,50.29
229506,50.3
229909,50.28
230312,50.28
230716,50.29
231119,50.27
231523,50.3
231926,50.29
232330,50.29
232732,50.27
233136,50.28
233539,50.26
233943,50.26
234346,50.28
234749,50.24
235153,50.25
235556,50.25
235960,50.23
236363,50.22
236767,50.21
237170,50.22
237573,50.2
237976,50.21
238380,50.21
238783,50.2
239186,50.21
239590,50.23
239993,50.21
240397,50.2
240800,50.22
241204,50.21
241607,50.2
242011,50.23
242414,50.24
242817,50.17
243220,50.02
243623,49.93
244027,49.85
244430,50.01
244834,50.31
245237,50.32
245641,50.32
246044,50.33
246448,50.26
246851,50.34
247255,50.34
247658,50.36
248060,50.17
248464,48.6
248867,47.96
249271,48.36
249674,48.32
250078,47.52
250481,46.69
250885,46.06
251288,45.67
251692,45.07
252095,43.67
252498,43.53
252901,47.36
253304,47.13
253708,46.91
254111,46.71
254515,46.51
254918,46.27
255322,45.99
255725,45.87
256129,45.61
256532,45.27
256935,44.69
257339,44.01
257742,43.65
258145,43.35
258548,42.74
258952,42.25
259355,41.91
259759,41.65
260162,41.22
260566,40.95
260969,40.75
261372,40.36
261776,40.09
262179,39.87
262583,39.52
262986,39.16
263389,39
263792,38.74
264196,38.61
264599,38.42
265003,38.12
265406,37.82
265809,37.55
266213,37.49
266616,37.41
267020,37.19
267423,36.96
267827,36.74
268230,36.55
268633,36.48
269036,36.33
269440,36.14
269843,36.06
270246,35.97
270650,35.89
271053,35.66
271457,35.48
271860,35.3
272264,35.12
272667,35.08
273071,35.04
273474,34.9
273876,34.75
274280,34.6
274683,34.52
275087,34.41
275490,34.24
275894,34.17
276297,34.07
276701,34.02
277104,34.13
277508,34.01
277911,33.85
278315,33.68
278718,33.59
279120,33.5
279524,33.38
279927,33.3
280331,33.23
